,post_id,date,count
0,3,2020-11-01,2
1,3,2021-01-10,1
2,3,2021-03-28,1
3,3,2021-07-11,1
4,3,2021-07-18,1
5,3,2021-08-01,1
6,3,2021-08-15,1
7,3,2021-08-22,1
8,3,2021-09-19,1
9,3,2021-10-31,2
10,3,2021-11-21,1
11,3,2021-12-12,1
12,3,2021-12-26,1
13,3,2022-01-09,2
14,3,2022-01-16,1
15,3,2022-01-23,1
16,3,2022-02-13,1
17,3,2022-02-20,1
18,3,2022-02-27,2
19,3,2022-04-03,1
20,3,2022-05-08,1
21,3,2022-05-15,1
22,3,2022-05-22,1
23,3,2022-05-29,3
24,3,2022-06-12,1
25,3,2022-06-26,2
26,3,2022-07-03,1
27,3,2022-07-10,1
28,3,2022-07-24,1
29,3,2022-09-25,2
30,3,2022-10-09,3
31,3,2022-10-30,2
32,3,2022-12-25,1
33,3,2023-01-15,1
34,3,2023-02-05,1
35,3,2023-02-19,1
36,3,2023-03-05,1
37,3,2023-03-12,1
38,3,2023-03-19,1
39,3,2023-04-09,1
40,3,2023-04-16,1
41,3,2023-10-01,1
42,3,2023-12-03,3
43,3,2024-02-04,1
44,137,2020-09-13,2
45,137,2020-09-20,3
46,137,2020-10-04,1
47,137,2021-01-24,4
48,137,2021-04-04,1
49,137,2021-07-18,1
50,137,2021-09-05,1
51,137,2021-10-24,1
52,137,2022-01-23,1
53,137,2022-02-13,1
54,137,2022-03-13,1
55,137,2022-04-03,5
56,137,2022-04-17,1
57,137,2022-04-24,1
58,137,2022-05-01,1
59,137,2022-09-18,1
60,137,2023-06-04,1
61,137,2023-07-30,1
62,137,2024-02-04,1
63,184,2020-09-20,3
64,184,2020-09-27,2
65,184,2020-10-11,1
66,184,2020-10-18,2
67,184,2020-10-25,2
68,184,2020-11-01,10
69,184,2020-11-08,4
70,184,2020-11-15,8
71,184,2020-11-22,10
72,184,2020-11-29,7
73,184,2020-12-06,11
74,184,2020-12-13,4
75,184,2020-12-20,15
76,184,2020-12-27,9
77,184,2021-01-03,15
78,184,2021-01-10,18
79,184,2021-01-17,13
80,184,2021-01-24,20
81,184,2021-01-31,18
82,184,2021-02-07,29
83,184,2021-02-14,17
84,184,2021-02-21,30
85,184,2021-02-28,33
86,184,2021-03-07,43
87,184,2021-03-14,56
88,184,2021-03-21,68
89,184,2021-03-28,54
90,184,2021-04-04,79
91,184,2021-04-11,89
92,184,2021-04-18,83
93,184,2021-04-25,97
94,184,2021-05-02,112
95,184,2021-05-09,149
96,184,2021-05-16,155
97,184,2021-05-23,172
98,184,2021-05-30,167
99,184,2021-06-06,135
100,184,2021-06-13,177
101,184,2021-06-20,151
102,184,2021-06-27,153
103,184,2021-07-04,167
104,184,2021-07-11,150
105,184,2021-07-18,128
106,184,2021-07-25,108
107,184,2021-08-01,108
108,184,2021-08-08,111
109,184,2021-08-15,126
110,184,2021-08-22,147
111,184,2021-08-29,164
112,184,2021-09-05,148
113,184,2021-09-12,180
114,184,2021-09-19,159
115,184,2021-09-26,180
116,184,2021-10-03,128
117,184,2021-10-10,126
118,184,2021-10-17,127
119,184,2021-10-24,118
120,184,2021-10-31,122
121,184,2021-11-07,105
122,184,2021-11-14,148
123,184,2021-11-21,126
124,184,2021-11-28,133
125,184,2021-12-05,88
126,184,2021-12-12,133
127,184,2021-12-19,116
128,184,2021-12-26,124
129,184,2022-01-02,152
130,184,2022-01-09,135
131,184,2022-01-16,150
132,184,2022-01-23,132
133,184,2022-01-30,160
134,184,2022-02-06,138
135,184,2022-02-13,135
136,184,2022-02-20,120
137,184,2022-02-27,141
138,184,2022-03-06,133
139,184,2022-03-13,137
140,184,2022-03-20,160
141,184,2022-03-27,142
142,184,2022-04-03,136
143,184,2022-04-10,140
144,184,2022-04-17,187
145,184,2022-04-24,161
146,184,2022-05-01,173
147,184,2022-05-08,165
148,184,2022-05-15,194
149,184,2022-05-22,197
150,184,2022-05-29,153
151,184,2022-06-05,167
152,184,2022-06-12,139
153,184,2022-06-19,157
154,184,2022-06-26,153
155,184,2022-07-03,165
156,184,2022-07-10,200
157,184,2022-07-17,186
158,184,2022-07-24,134
159,184,2022-07-31,164
160,184,2022-08-07,163
161,184,2022-08-14,182
162,184,2022-08-21,180
163,184,2022-08-28,154
164,184,2022-09-04,174
165,184,2022-09-11,129
166,184,2022-09-18,146
167,184,2022-09-25,152
168,184,2022-10-02,167
169,184,2022-10-09,161
170,184,2022-10-16,178
171,184,2022-10-23,177
172,184,2022-10-30,141
173,184,2022-11-06,130
174,184,2022-11-13,153
175,184,2022-11-20,158
176,184,2022-11-27,165
177,184,2022-12-04,158
178,184,2022-12-11,147
179,184,2022-12-18,146
180,184,2022-12-25,142
181,184,2023-01-01,164
182,184,2023-01-08,183
183,184,2023-01-15,217
184,184,2023-01-22,212
185,184,2023-01-29,174
186,184,2023-02-05,243
187,184,2023-02-12,179
188,184,2023-02-19,203
189,184,2023-02-26,164
190,184,2023-03-05,163
191,184,2023-03-12,146
192,184,2023-03-19,129
193,184,2023-03-26,157
194,184,2023-04-02,136
195,184,2023-04-09,184
196,184,2023-04-16,175
197,184,2023-04-23,122
198,184,2023-04-30,137
199,184,2023-05-07,188
200,184,2023-05-14,135
201,184,2023-05-21,198
202,184,2023-05-28,186
203,184,2023-06-04,155
204,184,2023-06-11,157
205,184,2023-06-18,154
206,184,2023-06-25,151
207,184,2023-07-02,210
208,184,2023-07-09,130
209,184,2023-07-16,172
210,184,2023-07-23,188
211,184,2023-07-30,176
212,184,2023-08-06,134
213,184,2023-08-13,192
